0.49441,0.24782,0.58052
0.2883,0.25519,0.70487
0.27019,0.54585,0.79847
0.70079,0.072356,0.79962
0.50195,0.17489,0.93559
0.58172,0.10069,0.77398
0.26929,0.27789,0.7326
0.54248,0.2113,0.61061
0.54412,0.2727,0.69849
0.53298,0.38136,0.89809
0.39036,0.20163,0.5885
0.42995,0.41636,0.67973
0.55984,0.2084,0.88241
0.52608,0.21503,0.69018
0.50554,0.10901,0.71494
0.58926,0.21185,0.76852
0.67733,0.2668,0.80233
0.53487,0.33667,0.81355
0.33006,0.077695,0.73127
0.60477,0.43434,0.65571
0.35192,0.3009,0.7144
0.58712,0.41525,0.85947
0.62702,0.23889,0.76575
0.37284,0.14772,0.83541
0.48736,0.24703,0.84049
0.52377,0.37681,0.81255
0.6197,0.34811,0.66547
0.41821,0.44786,0.5789
0.48359,0.15234,0.91199
0.57073,0.2645,0.72308
0.28633,0.38511,0.61126
0.28088,0.26991,0.56794
0.59781,0.3695,0.85559
0.34069,0.37787,0.77984
0.69437,0.3641,0.86386
0.52281,0.28356,0.87852
0.37669,0.15891,0.62846
0.44846,0.41041,0.85196
0.29822,0.23813,0.75996
0.48912,0.38168,0.78753
0.44013,0.24349,0.56748
0.70738,0.18949,0.59365
0.46984,0.19908,0.73576
0.39326,0.50088,0.85016
0.3393,0.38239,0.70098
0.4614,0.32089,0.93312
0.43431,0.52307,0.6338
0.53313,0.34818,0.75987
0.60447,0.30986,0.60034
0.31794,0.52094,0.66961
0.59611,0.25904,0.12585
0.3622,0.39554,0.46109
0.55192,0.35638,0.19323
0.56284,0.28092,0.28803
0.6361,0.42863,0.19604
0.63992,0.22841,0.33955
0.49871,0.38576,0.23208
0.31008,0.41687,0.35123
0.36026,0.27709,0.35298
0.42915,0.33545,0.35298
0.64939,0.15434,0.29755
0.3607,0.095063,0.12648
0.5838,0.33581,0.18676
0.42513,0.45873,0.47632
0.71222,0.5103,0.11689
0.44337,0.11059,0.41191
0.33955,0.31417,0.34261
0.43301,0.27468,0.5181
0.53023,0.12326,0.093803
0.46871,0.24464,0.24009
0.49922,0.20193,0.30255
0.40035,0.12473,0.34989
0.39844,0.24067,0.36923
0.49479,0.3263,0.29562
0.58412,0.38411,0.31809
